<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<OPEN>,<LAST>
2001-12-23,8.0925452638913,8.094683648698815,8.086410275323782,8.089789175789319,1464821054.0,450145,246,8.0959035329611,8.089789175789319
2001-12-24,8.086717920303906,8.098642843759418,8.086717920303906,8.0959035329611,1987701616.0,608881,305,8.089789175789319,8.0959035329611
2001-12-25,8.096512917501594,8.11522197256233,8.0959035329611,8.11522197256233,2453925629.0,739509,377,8.0959035329611,8.11522197256233
2001-12-26,8.11701408773731,8.131530710604252,8.11701408773731,8.128585200374497,4021164123.0,1191404,459,8.11522197256233,8.128585200374497
2001-12-29,8.131824785007195,8.160803920954665,8.131824785007195,8.160803920954665,5964785091.0,1715314,500,8.128585200374497,8.160803920954665
2001-12-30,8.18060094759445,8.18060094759445,8.141189793457691,8.146419323098003,7016978498.0,2012889,667,8.160803920954665,8.146419323098003
2001-12-31,8.137688184977605,8.15507488781144,8.11701408773731,8.137688184977605,5528171211.0,1606486,702,8.146419323098003,8.137688184977605
2002-01-21,7.972810784121404,7.97349996402463,7.937731775260109,7.9599745280805365,3511522623.0,1222890,500,8.137688184977605,7.9599745280805365
2002-01-22,7.968665700466235,7.990238185720363,7.951911381854188,7.990238185720363,4819881108.0,1662734,530,7.9599745280805365,7.990238185720363
2002-01-23,7.9909154630913255,8.013343181386672,7.9909154630913255,8.006700845440367,7122259175.0,2374883,724,7.990238185720363,8.006700845440367
2002-01-26,8.006700845440367,8.006700845440367,7.989899374942939,8.002694162283937,3916531296.0,1313520,569,8.006700845440367,8.002694162283937
2002-01-27,7.9966538754626075,7.998335395952982,7.972810784121404,7.972810784121404,2243626080.0,764984,383,8.002694162283937,7.972810784121404
2002-01-28,7.969703583278656,7.979681302387741,7.956476798036782,7.972810784121404,2122408246.0,734974,390,7.972810784121404,7.972810784121404
2002-01-29,7.972810784121404,7.976251943745623,7.9665866976384025,7.972810784121404,2127595409.0,733603,341,7.972810784121404,7.972810784121404
2002-01-30,7.9724660159745655,7.976251943745623,7.969011781106478,7.97349996402463,4449119660.0,1533135,311,7.972810784121404,7.97349996402463
2002-02-02,7.973844375944687,7.974188669286011,7.9658927350845286,7.9676267393338165,3542605563.0,1223110,404,7.97349996402463,7.9676267393338165
2002-02-03,7.96693349840484,7.972121128921655,7.949091499830517,7.9676267393338165,1536940923.0,536018,326,7.9676267393338165,7.9676267393338165
2002-02-04,7.9676267393338165,7.9676267393338165,7.9617188159813645,7.9658927350845286,2158721155.0,750397,333,7.9676267393338165,7.9658927350845286
2002-02-05,7.965545573129992,7.969357742016346,7.96311205897929,7.969357742016346,1945893939.0,675222,306,7.9658927350845286,7.969357742016346
2002-02-06,7.969011781106478,7.971085753505607,7.968319500012717,7.969357742016346,2602486667.0,900459,376,7.969357742016346,7.969357742016346
2002-02-09,7.970049304976135,7.973155433444133,7.9658927350845286,7.972810784121404,11585152210.0,3996809,4653,7.969357742016346,7.972810784121404
2002-02-10,7.970394907191429,7.976251943745623,7.969357742016346,7.972810784121404,1873047710.0,646228,271,7.972810784121404,7.972810784121404
2002-02-12,7.972121128921655,7.972810784121404,7.9624156801210635,7.969357742016346,1810961603.0,626989,246,7.972810784121404,7.969357742016346
2002-02-13,7.9624156801210635,7.9658927350845286,7.96102146588337,7.96102146588337,1072510898.0,373525,310,7.969357742016346,7.96102146588337
2002-02-16,7.9624156801210635,7.965545573129992,7.956827122090111,7.962763930168115,26116779729.0,9103613,17085,7.96102146588337,7.962763930168115
2002-02-17,7.962763930168115,7.964850887447313,7.95892649305011,7.9624156801210635,1266280398.0,441484,218,7.962763930168115,7.9624156801210635
2002-02-18,7.960672608388117,7.967973179662935,7.960672608388117,7.964503363551548,2413327872.0,840396,280,7.9624156801210635,7.964503363551548
2002-02-19,7.964155718840937,7.973155433444133,7.964155718840937,7.972810784121404,6293878722.0,2172163,315,7.964503363551548,7.972810784121404
2002-02-20,7.972810784121404,7.973155433444133,7.968665700466235,7.972810784121404,2416688377.0,833536,285,7.972810784121404,7.972810784121404
2002-02-24,7.972810784121404,7.972810784121404,7.969357742016346,7.972121128921655,1512152199.0,522062,255,7.972810784121404,7.972121128921655
2002-02-25,7.972121128921655,7.972810784121404,7.9676267393338165,7.9724660159745655,2231392027.0,770129,292,7.972121128921655,7.9724660159745655
2002-02-26,7.9714309977693505,7.979681302387741,7.9714309977693505,7.976595409316577,2313984968.0,796696,270,7.9724660159745655,7.976595409316577
2002-02-27,7.977625098784593,7.983098940710892,7.977625098784593,7.980023592310645,1670036473.0,571297,326,7.976595409316577,7.980023592310645
2002-03-02,7.979338895262328,7.980023592310645,7.974188669286011,7.976251943745623,1810590744.0,620689,523,7.980023592310645,7.976251943745623
2002-03-04,7.976251943745623,7.983098940710892,7.975564658495202,7.982074875081202,1621216045.0,555390,423,7.976251943745623,7.982074875081202
2002-03-05,7.9817332866918855,8.000014093678072,7.98139158158007,7.9966538754626075,1579690749.0,534793,380,7.982074875081202,7.9966538754626075
2002-03-06,7.99699040583765,8.006700845440367,7.9966538754626075,8.005700678662542,6234408334.0,2083575,633,7.9966538754626075,8.005700678662542
2002-03-09,8.005367067316664,8.016647877057803,8.005033344637111,8.012680929706839,2285193250.0,758677,664,8.005700678662542,8.012680929706839
